index,Location,Metrics,Model Category,Model,y
69,S3,RMSE,MA DReg,RNN,0.2436833627265728
70,S3,RMSE,MA DReg,GRU,0.3503685653048324
71,S3,RMSE,MA DReg,LSTM,0.3932407102001373
72,S3,RMSE,HY,CNN LSTM,0.1523829949000441
73,S3,RMSE,HY,RNN LSTM GRU,0.1507455221931747
74,S3,RMSE,HY,CNN RNN GRU,0.1800700221884925
75,S3,RMSE,HY,CNN GRU,0.1678837057173047
76,S3,RMSE,HY,RNN GRU,0.1481294878920695
77,S3,RMSE,HY,RNN LSTM,0.1476514301438486
78,S3,RMSE,MA HY,CNN LSTM,0.4235167658057103
79,S3,RMSE,MA HY,RNN LSTM GRU,0.4883213262387595
80,S3,RMSE,MA HY,CNN RNN GRU,0.7747006220438267
81,S3,RMSE,MA HY,CNN GRU,0.5945299132814615
82,S3,RMSE,MA HY,RNN GRU,0.3428019385258474
83,S3,RMSE,MA HY,RNN LSTM,0.2698425719268472
84,S4,RMSE,General,CNN,0.2509215307971014
85,S4,RMSE,General,RNN,0.2742473468734601
86,S4,RMSE,General,GRU,0.9612353214373708
87,S4,RMSE,General,LSTM,0.1987905271349097
88,S4,RMSE,MA,CNN,0.3099650270357362
89,S4,RMSE,MA,RNN,0.2322797934028487
90,S4,RMSE,MA,GRU,0.3326399495160596
91,S4,RMSE,MA,LSTM,0.4058307668518678
92,S4,RMSE,DReg,CNN,0.4058161092230281
93,S4,RMSE,DReg,RNN,0.1761683215873453
94,S4,RMSE,DReg,GRU,0.1799051654894355
95,S4,RMSE,DReg,LSTM,0.1692547850202188
96,S4,RMSE,MA DReg,CNN,1.5995067990873744
97,S4,RMSE,MA DReg,RNN,0.4703882465472758
98,S4,RMSE,MA DReg,GRU,0.3516703411787788
99,S4,RMSE,MA DReg,LSTM,0.5882790494648019
100,S4,RMSE,HY,CNN LSTM,0.186414251532188
101,S4,RMSE,HY,RNN LSTM GRU,0.1683698379232913
102,S4,RMSE,HY,CNN RNN GRU,0.2263942749457078
103,S4,RMSE,HY,CNN GRU,0.2284676485363589
