index,Location,Metrics,Model Category,Model,y
45,S2,RMSE,HY,RNN LSTM GRU,0.1172414431687206
46,S2,RMSE,HY,CNN RNN GRU,0.9432013094174672
47,S2,RMSE,HY,CNN GRU,0.9335256730386124
48,S2,RMSE,HY,RNN GRU,0.1162186166314124
49,S2,RMSE,HY,RNN LSTM,0.1248476715071361
50,S2,RMSE,MA HY,CNN LSTM,0.939695730919464
51,S2,RMSE,MA HY,RNN LSTM GRU,0.299781746121587
52,S2,RMSE,MA HY,CNN RNN GRU,0.941700852691172
53,S2,RMSE,MA HY,CNN GRU,0.9436346092668068
54,S2,RMSE,MA HY,RNN GRU,0.178071104822586
55,S2,RMSE,MA HY,RNN LSTM,0.2661388624345842
56,S3,RMSE,General,CNN,1.8039343888487425
57,S3,RMSE,General,RNN,1.028389847181951
58,S3,RMSE,General,GRU,0.9170433577584592
59,S3,RMSE,General,LSTM,0.8641491365082165
60,S3,RMSE,MA,CNN,1.2797975545188691
61,S3,RMSE,MA,RNN,0.1947702067601841
62,S3,RMSE,MA,GRU,0.4910527622527971
63,S3,RMSE,MA,LSTM,0.395327678094063
64,S3,RMSE,DReg,CNN,1.7193882685923236
65,S3,RMSE,DReg,RNN,0.1413980436998798
66,S3,RMSE,DReg,GRU,0.1464039181334359
67,S3,RMSE,DReg,LSTM,0.1375694501125282
68,S3,RMSE,MA DReg,CNN,1.7688416326540537
69,S3,RMSE,MA DReg,RNN,0.3518808872842809
70,S3,RMSE,MA DReg,GRU,0.4241215316433107
71,S3,RMSE,MA DReg,LSTM,0.5528493574218962
72,S3,RMSE,HY,CNN LSTM,0.9470810804764416
73,S3,RMSE,HY,RNN LSTM GRU,0.1295846226531123
74,S3,RMSE,HY,CNN RNN GRU,0.9340023316520688
75,S3,RMSE,HY,CNN GRU,0.9390656681167724
76,S3,RMSE,HY,RNN GRU,0.1490674354025445
77,S3,RMSE,HY,RNN LSTM,0.1340027422822262
78,S3,RMSE,MA HY,CNN LSTM,0.9392271190408088
79,S3,RMSE,MA HY,RNN LSTM GRU,0.4907558689084448
80,S3,RMSE,MA HY,CNN RNN GRU,0.9402920462879284
81,S3,RMSE,MA HY,CNN GRU,0.9398612817366626
82,S3,RMSE,MA HY,RNN GRU,0.2219749561366824
83,S3,RMSE,MA HY,RNN LSTM,0.3059724100214576
84,S4,RMSE,General,CNN,2.005949947724715
85,S4,RMSE,General,RNN,0.8553789202623249
86,S4,RMSE,General,GRU,0.9288675633782328
87,S4,RMSE,General,LSTM,0.910890977113229
88,S4,RMSE,MA,CNN,1.867612379258508
89,S4,RMSE,MA,RNN,0.2671721975743237
90,S4,RMSE,MA,GRU,0.4121300217971119
91,S4,RMSE,MA,LSTM,0.7723538888967986
92,S4,RMSE,DReg,CNN,1.7912027048523225
93,S4,RMSE,DReg,RNN,0.1555355135574769
94,S4,RMSE,DReg,GRU,0.142497286285472
95,S4,RMSE,DReg,LSTM,0.1355943402727083
96,S4,RMSE,MA DReg,CNN,1.8016126396657175
97,S4,RMSE,MA DReg,RNN,0.361155210176743
98,S4,RMSE,MA DReg,GRU,0.4538545195912966
99,S4,RMSE,MA DReg,LSTM,0.4295707908536633
100,S4,RMSE,HY,CNN LSTM,0.9398911903439638
101,S4,RMSE,HY,RNN LSTM GRU,0.1282971454938089
102,S4,RMSE,HY,CNN RNN GRU,0.9448349721804238
103,S4,RMSE,HY,CNN GRU,0.9322378513868173
104,S4,RMSE,HY,RNN GRU,0.1407957206284002
