Date,Param,Values
148,5/12/2022,Temperature,32.55
149,5/13/2022,Temperature,32.56
150,5/14/2022,Temperature,31.96
151,5/15/2022,Temperature,32.7
152,5/16/2022,Temperature,32.39
153,5/17/2022,Temperature,32.24
154,5/18/2022,Temperature,32.59
155,5/19/2022,Temperature,32.5
156,5/20/2022,Temperature,32.44
157,5/21/2022,Temperature,32.62
158,5/22/2022,Temperature,32.64
159,5/23/2022,Temperature,32.68
160,5/24/2022,Temperature,32.32
161,5/25/2022,Temperature,32.53
162,5/26/2022,Temperature,32.69
163,5/27/2022,Temperature,32.54
164,5/28/2022,Temperature,32.53
165,5/29/2022,Temperature,32.57
166,5/30/2022,Temperature,32.2
167,5/31/2022,Temperature,31.01
168,6/1/2022,Temperature,31.46
169,6/2/2022,Temperature,30.65
170,6/3/2022,Temperature,32.09
171,6/4/2022,Temperature,31.72
172,6/5/2022,Temperature,32.03
173,6/6/2022,Temperature,31.97
174,6/7/2022,Temperature,32.01
175,6/8/2022,Temperature,31.92
176,6/9/2022,Temperature,30.8
