Location,Model,R2,RMSE,MAE
S3,HY CNN LSTM,-0.0717588300058429,0.9470810804764416,0.7632978440655602
S3,HY LSTM RNN GRU,0.9799354379322144,0.1295846226531123,0.1056059528126691
S3,HY CNN RNN GRU,-0.0423622368819285,0.9340023316520688,0.7737251053916083
S3,HY CNN GRU,-0.0536944068660161,0.9390656681167724,0.7704343163967132
S3,HY RNN GRU,0.9734485460449896,0.1490674354025445,0.1142956483043316
S3,HY RNN LSTM,0.9785439328144716,0.1340027422822262,0.1044809325541265
S3,MA HY CNN LSTM,-0.0540567554547004,0.9392271190408088,0.7703376856777403
S3,MA HY LSTM RNN GRU,0.7122245429350986,0.4907558689084448,0.4084813954432805
S3,MA HY CNN RNN GRU,-0.0564483604172993,0.9402920462879284,0.770424357453982
S3,MA HY CNN GRU,-0.0554806264766363,0.9398612817366626,0.769952010512352
S3,MA HY RNN GRU,0.941125029021062,0.2219749561366824,0.1746865319212277
S3,MA HY RNN LSTM,0.8881367886203358,0.3059724100214576,0.2435899587141142
S4,CNN,-3.807983106742157,2.005949947724715,1.4624988928437237
S4,RNN,0.1257415568484575,0.8553789202623249,0.703746223979526
S4,GRU,-0.0309327660967053,0.9288675633782328,0.7775357329845428
S4,LSTM,0.0085848555828211,0.910890977113229,0.7943071521653069
S4,MA CNN,-3.167697949157,1.867612379258508,1.4013736622780562
S4,MA RNN,0.9147085939861288,0.2671721975743237,0.2013849155770407
S4,MA GRU,0.7970489733961574,0.4121300217971119,0.3151305770874023
S4,MA LSTM,0.2872201340220635,0.7723538888967986,0.6288796743419435
S4,DReg CNN,-2.833647885892204,1.7912027048523225,1.5431810251871745
S4,DReg RNN,0.971094406997773,0.1555355135574769,0.1190125974785122
S4,DReg GRU,0.9757374783549124,0.142497286285472,0.1098264193627983
S4,DReg LSTM,0.9780312233686236,0.1355943402727083,0.1070380210048622
S4,MA DReg CNN,-2.8783374023130475,1.8016126396657175,1.5539329580465953
S4,MA DReg RNN,0.8441486683166907,0.361155210176743,0.2736806722150908
S4,MA DReg GRU,0.7538748025231177,0.4538545195912966,0.3293367922968334
S4,MA DReg LSTM,0.7795083054895177,0.4295707908536633,0.3405989875727229
S4,HY CNN LSTM,-0.0555478033217051,0.9398911903439638,0.7699612012174394
S4,HY LSTM RNN GRU,0.9803321568592968,0.1282971454938089,0.1024459963679934
S4,HY CNN RNN GRU,-0.0666812672183956,0.9448349721804238,0.767486457824707
S4,HY CNN GRU,-0.0384275779716993,0.9322378513868173,0.7749691867828369
S4,HY RNN GRU,0.9763134582362688,0.1407957206284002,0.1084492778788424
S4,HY RNN LSTM,0.9773878241597036,0.1375655861008711,0.1062034379483924
S4,MA HY CNN LSTM,-0.0600035093506388,0.9418728479427676,0.7688309415843751
S4,MA HY LSTM RNN GRU,0.8993988044432825,0.2901617733363689,0.2115245883001221
S4,MA HY CNN RNN GRU,-0.0568946251841564,0.9404906243358576,0.7691290988524755
S4,MA HY CNN GRU,-0.052093976336756,0.9383522352318354,0.7708764172924889
S4,MA HY RNN GRU,0.8501905879407622,0.3540855269765369,0.2810376634862688
S4,MA HY RNN LSTM,0.8752695916400453,0.3230909534300787,0.2293614291813638
